Name	Page Width	Page Height	Columns	Rows	Left Margin	Top Margin	Width	Height	Width plus gap	Height plus gap	Corner type	Radius X	Paper type	Orientation	Half page perf skip	Half page row count	Description	Units
Address 4152 Fluorescent Portrait	1577	5040	1	1	0	0	1577	5040	1577	5040	1	180	1	1	0	0		1440
Address 4152 Fluorescent Landscape	5040	1577	1	1	0	0	5040	1577	5040	1577	1	180	1	0	0	0		1440
Address 42-121	6463	2880	1	2	683	60	5097	1321	5097	1440	1	180	1	1	0	0		1440
Address 42-122	6463	4320	1	2	683	60	5097	2041	5097	2160	1	180	1	1	0	0		1440
Address 42-123	6463	5760	1	2	683	60	5097	2761	5097	2880	1	180	1	1	0	0		1440
Address 42-131	7200	2880	1	2	720	60	5760	1321	5760	1440	1	180	1	1	0	0		1440
Address 42-132	7200	4320	1	2	720	60	5760	2041	5760	2160	1	180	1	1	0	0		1440
Address 42-133	7200	5760	1	2	720	60	5760	2761	5760	2880	1	180	1	1	0	0		1440
Address 42-141	7483	2880	1	2	717	60	6049	1321	6049	1440	1	180	1	1	0	0		1440
Address 42-142	7483	4320	1	2	717	60	6049	2041	6049	2160	1	180	1	1	0	0		1440
Address 42-143	7483	5760	1	2	717	60	6049	2761	6049	2880	1	180	1	1	0	0		1440
Address 42-155	7937	8640	1	2	680	62	6576	4195	6576	4320	1	180	1	1	0	0		1440
Address 42-321	17178	2880	3	2	656	60	5097	1321	5385	1440	1	180	1	1	0	0		1440
Address 42-322	17178	4320	3	2	656	60	5097	2041	5385	2160	1	180	1	1	0	0		1440
Address 42-331	19276	2880	3	2	710	60	5760	1321	6048	1440	1	180	1	1	0	0		1440
Address 42-332	19276	4320	3	2	710	60	5760	2041	6048	2160	1	180	1	1	0	0		1440
Address 42-341	20126	2880	3	2	701	60	6049	1321	6337	1440	1	180	1	1	0	0		1440
Address 42-342	20126	4320	3	2	701	60	6049	2041	6337	2160	1	180	1	1	0	0		1440
Address 42-411	20750	2880	4	2	725	60	4609	1321	4897	1440	1	180	1	1	0	0		1440
Address 42-412	20750	4320	4	2	725	60	4609	2041	4897	2160	1	180	1	1	0	0		1440
Address 42-621	11679	2880	2	2	671	60	5097	1321	5241	1440	1	180	1	1	0	0		1440
Address 42-622	11679	4320	2	2	671	60	5097	2041	5241	2160	1	180	1	1	0	0		1440
Address 42-631	13663	2880	2	2	999	60	5760	1321	5904	1440	1	180	1	1	0	0		1440
Address 42-632	13663	4320	2	2	999	60	5760	2041	5904	2160	1	180	1	1	0	0		1440
Address 42-633	13663	5760	2	2	999	60	5760	2761	5904	2880	1	180	1	1	0	0		1440
Address 42-721	16894	2880	3	2	599	60	5040	1321	5328	1440	1	180	1	1	0	0		1440
Address 42-812	20296	4320	4	2	498	60	4609	2041	4897	2160	1	180	1	1	0	0		1440
Address 4600	6480	2880	1	2	720	45	5040	1351	5040	1440	1	180	1	1	0	0		1440
Address 4602	11664	2880	2	2	720	45	5040	1351	5184	1440	1	180	1	1	0	0		1440
